departure city,long. departure (decimal),lat. departure (decimal),departure country,arrival city,long. departure (decimal),lat. departure (decimal),arrival country,number of routes,distance
Dubai,55.607,25.421,United Arab Emirates,Berbera,45.568,10.648,Somalia,2,1953
Bosaso,49.249,11.458,Somalia,Galcaio,47.757,7.301,Somalia,2,490
Berbera,45.568,10.648,Somalia,Bosaso,49.249,11.458,Somalia,2,411
Nairobi,37.545,-0.866,Kenya,Nanyuki,37.055,0.555,Kenya,2,167
Nairobi,37.545,-0.866,Kenya,Masai Mara,35.013,-1.011,Kenya,2,281
Ukunda,39.952,-3.829,Kenya,Nairobi,37.545,-0.866,Kenya,2,424
Nanyuki,37.055,0.555,Kenya,Masai Mara,35.013,-1.011,Kenya,2,286
Nairobi,37.545,-0.866,Kenya,Malindi,40.169,-2.716,Kenya,2,356
Nairobi,37.545,-0.866,Kenya,Eldoret,35.398,0.674,Kenya,2,293
Mtwara,40.302,-9.899,Tanzania,Dar Es Salaam,39.337,-6.797,Tanzania,2,360
Mwanza,33.554,-2.075,Tanzania,Dar Es Salaam,39.337,-6.797,Tanzania,2,828
Masai Mara,35.013,-1.011,Kenya,Nairobi,37.545,-0.866,Kenya,2,281
Eldoret,35.398,0.674,Kenya,Nairobi,37.545,-0.866,Kenya,2,293
Dar Es Salaam,39.337,-6.797,Tanzania,Mtwara,40.302,-9.899,Tanzania,2,360
Dar Es Salaam,39.337,-6.797,Tanzania,Mwanza,33.554,-2.075,Tanzania,2,828
Zurich,8.915,47.774,Switzerland,Hurghada,34.332,27.297,Egypt,2,3166
Brussels,4.807,51.502,Belgium,Tanger,-5.862,36.211,Morocco,2,1898
Amsterdam,5.273,52.514,Netherlands,Tanger,-5.862,36.211,Morocco,2,2011
Ouagadougou,-1.188,12.588,Burkina Faso,Lome,1.424,6.276,Togo,2,758
Lome,1.424,6.276,Togo,Ouagadougou,-1.188,12.588,Burkina Faso,2,758
Mulhouse,7.883,47.982,France,Setif,5.54,36.296,Algeria,1,1313
Mulhouse,7.883,47.982,France,Oran,-0.369,36.039,Algeria,1,1490
Mulhouse,7.883,47.982,France,Algier,3.359,37.151,Algeria,1,1259
Paris,2.916,49.021,France,Hassi-messaoud,6.234,32.121,Algeria,1,1899
Riyadh,47.164,25.596,Saudi Arabia,Sohag,32.238,26.568,Egypt,1,1493
Riyadh,47.164,25.596,Saudi Arabia,Asyut,31.019,27.077,Egypt,1,1616
Jeddah,39.26,22.132,Saudi Arabia,Sohag,32.238,26.568,Egypt,1,865
Jeddah,39.26,22.132,Saudi Arabia,Asyut,31.019,27.077,Egypt,1,997
Wajir,40.152,2.222,Kenya,Nairobi,37.545,-0.866,Kenya,1,449
Mukalla,49.625,15.104,Yemen,Bosaso,49.249,11.458,Somalia,1,407
Mukalla,49.625,15.104,Yemen,Berbera,45.568,10.648,Somalia,1,662
Nairobi,37.545,-0.866,Kenya,Mogadishu,45.507,2.024,Somalia,1,941
Nairobi,37.545,-0.866,Kenya,Galcaio,47.757,7.301,Somalia,1,1451
Mogadishu,45.507,2.024,Somalia,Wajir,40.152,2.222,Kenya,1,595
Galcaio,47.757,7.301,Somalia,Wajir,40.152,2.222,Kenya,1,1014
Galcaio,47.757,7.301,Somalia,Mogadishu,45.507,2.024,Somalia,1,637
Berbera,45.568,10.648,Somalia,Mogadishu,45.507,2.024,Somalia,1,958
Aden,45.047,13.382,Yemen,Mogadishu,45.507,2.024,Somalia,1,1263
Aden,45.047,13.382,Yemen,Berbera,45.568,10.648,Somalia,1,309
Gran Canaria,-14.978,28.553,Spain,Amilcar Cabral,-22.916,17.235,Cape Verde,1,1497
Gran Canaria,-14.978,28.553,Spain,Boa Vista,-22.815,16.227,Cape Verde,1,1588
Gran Canaria,-14.978,28.553,Spain,Agadir,-9.244,30.635,Morocco,1,600
Hamburg,10.647,54.05,Germany,Boa Vista,-22.815,16.227,Cape Verde,1,5098
Frankfurt,8.905,50.044,Germany,Luxor,33.177,26.118,Egypt,1,3372
Muscat,58.474,23.988,Oman,Zanzibar,39.374,-5.704,Tanzania,1,3897
Muscat,58.474,23.988,Oman,Dar Es Salaam,39.337,-6.797,Tanzania,1,4003
Mombasa,39.99,-3.392,Kenya,Kigali,30.232,-1.948,Rwanda,1,1095
Lagos,3.535,6.962,Nigeria,Kigali,30.232,-1.948,Rwanda,1,3123
Kamembe,29.513,-2.104,Rwanda,Kigali,30.232,-1.948,Rwanda,1,81
Kigali,30.232,-1.948,Rwanda,Mombasa,39.99,-3.392,Kenya,1,1095
Kigali,30.232,-1.948,Rwanda,Lagos,3.535,6.962,Nigeria,1,3123
Kigali,30.232,-1.948,Rwanda,Kamembe,29.513,-2.104,Rwanda,1,81
Kigali,30.232,-1.948,Rwanda,Kilimanjaro,37.124,-3.05,Tanzania,1,775
Kigali,30.232,-1.948,Rwanda,Johannesburg,28.41,-25.566,South Africa,1,2633
Kigali,30.232,-1.948,Rwanda,Gisenyi,29.431,-1.463,Rwanda,1,104
Kigali,30.232,-1.948,Rwanda,Dar Es Salaam,39.337,-6.797,Tanzania,1,1144
Kilimanjaro,37.124,-3.05,Tanzania,Kigali,30.232,-1.948,Rwanda,1,775
Johannesburg,28.41,-25.566,South Africa,Kigali,30.232,-1.948,Rwanda,1,2633
Gisenyi,29.431,-1.463,Rwanda,Kamembe,29.513,-2.104,Rwanda,1,71
Gisenyi,29.431,-1.463,Rwanda,Kigali,30.232,-1.948,Rwanda,1,104
Dubai,55.607,25.421,United Arab Emirates,Mombasa,39.99,-3.392,Kenya,1,3619
Dubai,55.607,25.421,United Arab Emirates,Kigali,30.232,-1.948,Rwanda,1,4089
Dar Es Salaam,39.337,-6.797,Tanzania,Kigali,30.232,-1.948,Rwanda,1,1144
Brazzaville,15.421,-3.753,Congo (Kinshasa),Kigali,30.232,-1.948,Rwanda,1,1656
Yola,12.717,9.429,Nigeria,Abuja,7.438,9.011,Nigeria,1,581
Osubi,5.75,5.516,Nigeria,Lagos,3.535,6.962,Nigeria,1,292
Osubi,5.75,5.516,Nigeria,Abuja,7.438,9.011,Nigeria,1,430
Maiduguri,13.134,12.425,Nigeria,Abuja,7.438,9.011,Nigeria,1,728
Lagos,3.535,6.962,Nigeria,Osubi,5.75,5.516,Nigeria,1,292
Lagos,3.535,6.962,Nigeria,Luanda,13.385,-8.764,Angola,1,2061
Lagos,3.535,6.962,Nigeria,Kano,8.874,12.079,Nigeria,1,816
Lagos,3.535,6.962,Nigeria,Kaduna,7.533,11.16,Nigeria,1,640
Lagos,3.535,6.962,Nigeria,Jos,9.448,10.066,Nigeria,1,736
Lagos,3.535,6.962,Nigeria,Freetown,-12.66,9.027,Sierra Leone,1,1797
Lagos,3.535,6.962,Nigeria,Dakar,-17.151,15.232,Senegal,1,2434
Lagos,3.535,6.962,Nigeria,Calabar,8.578,5.626,Nigeria,1,576
Lagos,3.535,6.962,Nigeria,Benin,5.999,6.528,Nigeria,1,276
Luanda,13.385,-8.764,Angola,Lagos,3.535,6.962,Nigeria,1,2061
Kano,8.874,12.079,Nigeria,Lagos,3.535,6.962,Nigeria,1,816
Kaduna,7.533,11.16,Nigeria,Lagos,3.535,6.962,Nigeria,1,640
Jos,9.448,10.066,Nigeria,Lagos,3.535,6.962,Nigeria,1,736
New York,-73.632,41.066,United States,Lagos,3.535,6.962,Nigeria,1,8425
Ilorin,4.823,8.733,Nigeria,Abuja,7.438,9.011,Nigeria,1,288
Ibadan,4.63,7.604,Nigeria,Abuja,7.438,9.011,Nigeria,1,346
Freetown,-12.66,9.027,Sierra Leone,Lagos,3.535,6.962,Nigeria,1,1797
Dakar,-17.151,15.232,Senegal,Lagos,3.535,6.962,Nigeria,1,2434
Calabar,8.578,5.626,Nigeria,Lagos,3.535,6.962,Nigeria,1,576
Calabar,8.578,5.626,Nigeria,Abuja,7.438,9.011,Nigeria,1,396
Benin,5.999,6.528,Nigeria,Lagos,3.535,6.962,Nigeria,1,276
Benin,5.999,6.528,Nigeria,Abuja,7.438,9.011,Nigeria,1,318
Abuja,7.438,9.011,Nigeria,Yola,12.717,9.429,Nigeria,1,581
Abuja,7.438,9.011,Nigeria,Osubi,5.75,5.516,Nigeria,1,430
Abuja,7.438,9.011,Nigeria,Maiduguri,13.134,12.425,Nigeria,1,728
Abuja,7.438,9.011,Nigeria,Ilorin,4.823,8.733,Nigeria,1,288
Abuja,7.438,9.011,Nigeria,Ibadan,4.63,7.604,Nigeria,1,346
Abuja,7.438,9.011,Nigeria,Calabar,8.578,5.626,Nigeria,1,396
Abuja,7.438,9.011,Nigeria,Benin,5.999,6.528,Nigeria,1,318
Sao Vicente Island,-24.425,17.389,Cape Verde,Sao Nocolau Island,-23.808,16.98,Cape Verde,1,79
Sao Nocolau Island,-23.808,16.98,Cape Verde,Sao Vicente Island,-24.425,17.389,Cape Verde,1,79
Sao Nocolau Island,-23.808,16.98,Cape Verde,Amilcar Cabral,-22.916,17.235,Cape Verde,1,98
Amilcar Cabral,-22.916,17.235,Cape Verde,Sao Nocolau Island,-23.808,16.98,Cape Verde,1,98
"Praia,Santiago Island",-23.156,15.54,Cape Verde,Maio,-22.69,15.259,Cape Verde,1,58
Maio,-22.69,15.259,Cape Verde,"Praia,Santiago Island",-23.156,15.54,Cape Verde,1,58
Madrid,-3.278,40.822,Spain,Amilcar Cabral,-22.916,17.235,Cape Verde,1,3227
Gran Canaria,-14.978,28.553,Spain,"Praia,Santiago Island",-23.156,15.54,Cape Verde,1,1673
Lisbon,-8.56,39.302,Portugal,Boa Vista,-22.815,16.227,Cape Verde,1,2915
Fortaleza,-38.221,-3.628,Brazil,"Praia,Santiago Island",-23.156,15.54,Cape Verde,1,2700
Paris,2.916,49.021,France,Sao Vicente Island,-24.425,17.389,Cape Verde,1,4292
Paris,2.916,49.021,France,"Praia,Santiago Island",-23.156,15.54,Cape Verde,1,4410
Boston,-70.342,42.607,United States,"Praia,Santiago Island",-23.156,15.54,Cape Verde,1,5387
Amsterdam,5.273,52.514,Netherlands,Sao Vicente Island,-24.425,17.389,Cape Verde,1,4684
Sao Tome,7.186,0.63,Sao Tome and Principe,Libreville,9.687,0.764,Gabon,1,278
Sao Tome,7.186,0.63,Sao Tome and Principe,Douala,10.199,4.01,Cameroon,1,503
Libreville,9.687,0.764,Gabon,Sao Tome,7.186,0.63,Sao Tome and Principe,1,278
Douala,10.199,4.01,Cameroon,Sao Tome,7.186,0.63,Sao Tome and Principe,1,503
Dakar,-17.151,15.232,Senegal,Cotonou,2.64,6.595,Benin,1,2362
Cotonou,2.64,6.595,Benin,Dakar,-17.151,15.232,Senegal,1,2362
Banjul,-16.421,13.563,Gambia,Accra,0.388,6.008,Ghana,1,2022
Accra,0.388,6.008,Ghana,Banjul,-16.421,13.563,Gambia,1,2022
Sydney,151.295,-33.911,Australia,St.-denis,55.85,-20.812,Reunion,1,9211
Mahe,55.869,-4.458,Seychelles,St.-denis,55.85,-20.812,Reunion,1,1818
St.-denis,55.85,-20.812,Reunion,Mahe,55.869,-4.458,Seychelles,1,1818
St.-denis,55.85,-20.812,Reunion,Nosy-be,48.524,-12.854,Madagascar,1,1178
St.-denis,55.85,-20.812,Reunion,Moroni,43.453,-11.223,Comoros,1,1699
St.-denis,55.85,-20.812,Reunion,Dzaoudzi,45.468,-12.675,Mayotte,1,1427
Nosy-be,48.524,-12.854,Madagascar,St.-denis,55.85,-20.812,Reunion,1,1178
Nosy-be,48.524,-12.854,Madagascar,Dzaoudzi,45.468,-12.675,Mayotte,1,332
Marseille,5.356,43.725,France,St.-denis,55.85,-20.812,Reunion,1,8827
Lyon,5.151,46.21,France,St.-denis,55.85,-20.812,Reunion,1,9027
Moroni,43.453,-11.223,Comoros,St.-denis,55.85,-20.812,Reunion,1,1699
Dzaoudzi,45.468,-12.675,Mayotte,St.-denis,55.85,-20.812,Reunion,1,1427
Dzaoudzi,45.468,-12.675,Mayotte,Nosy-be,48.524,-12.854,Madagascar,1,332
Bordeaux,-0.526,45.38,France,St.-denis,55.85,-20.812,Reunion,1,9301
Bangkok,101.245,14.135,Thailand,St.-denis,55.85,-20.812,Reunion,1,6299
Sverdlovsk,61.337,57.238,Russia,Sharm El Sheikh,34.658,28.628,Egypt,1,3800
Sverdlovsk,61.337,57.238,Russia,Hurghada,34.332,27.297,Egypt,1,3947
Moscow,38.51,55.681,Russia,Sharm El Sheikh,34.658,28.628,Egypt,1,3023
Moscow,38.51,55.681,Russia,Mahe,55.869,-4.458,Seychelles,1,6873
Moscow,38.51,55.681,Russia,Enfidha,10.731,36.126,Tunisia,1,3018
Moscow,38.51,55.681,Russia,Plaisance,58.139,-20.051,Mauritius,1,8622
Victoria Falls,26.398,-17.494,Zimbabwe,Harare,31.154,-17.887,Zimbabwe,1,505
London,-0.103,51.795,United Kingdom,Harare,31.154,-17.887,Zimbabwe,1,8319
Kuala Lumpur,102.183,3.242,Malaysia,Harare,31.154,-17.887,Zimbabwe,1,8122
Harare,31.154,-17.887,Zimbabwe,Victoria Falls,26.398,-17.494,Zimbabwe,1,505
Harare,31.154,-17.887,Zimbabwe,Bulawayo,29.029,-19.363,Zimbabwe,1,277
Lubumashi,27.884,-11.319,Congo (Kinshasa),Lusaka,28.754,-14.885,Zambia,1,407
Lubumashi,27.884,-11.319,Congo (Kinshasa),Harare,31.154,-17.887,Zimbabwe,1,810
Bulawayo,29.029,-19.363,Zimbabwe,Harare,31.154,-17.887,Zimbabwe,1,277
Yenbo,38.105,24.24,Saudi Arabia,Cairo,31.675,30.203,Egypt,1,918
Taif,40.907,21.805,Saudi Arabia,Cairo,31.675,30.203,Egypt,1,1311
Gassim,44.289,26.504,Saudi Arabia,Cairo,31.675,30.203,Egypt,1,1300
Tunis,10.378,37.418,Tunisia,Tozeur,8.184,34.566,Tunisia,1,373
Tunis,10.378,37.418,Tunisia,Sfax,11.151,35.196,Tunisia,1,256
Tunis,10.378,37.418,Tunisia,Gafsa,9.37,34.703,Tunisia,1,315
Tunis,10.378,37.418,Tunisia,Djerba,11.292,34.458,Tunisia,1,339
Tozeur,8.184,34.566,Tunisia,Tunis,10.378,37.418,Tunisia,1,373
Sfax,11.151,35.196,Tunisia,Tunis,10.378,37.418,Tunisia,1,256
Sfax,11.151,35.196,Tunisia,Djerba,11.292,34.458,Tunisia,1,83
Naples,14.484,41.476,Italy,Tunis,10.378,37.418,Tunisia,1,572
Malta,14.795,36.429,Malta,Tunis,10.378,37.418,Tunisia,1,407
Gafsa,9.37,34.703,Tunisia,Tozeur,8.184,34.566,Tunisia,1,109
Gafsa,9.37,34.703,Tunisia,Gabes,10.172,34.461,Tunisia,1,78
Gabes,10.172,34.461,Tunisia,Tunis,10.378,37.418,Tunisia,1,329
Djerba,11.292,34.458,Tunisia,Tunis,10.378,37.418,Tunisia,1,339
Djerba,11.292,34.458,Tunisia,Sfax,11.151,35.196,Tunisia,1,83
Juba,32.001,5.453,South Sudan,Entebbe,32.739,0.07,Uganda,1,604
Entebbe,32.739,0.07,Uganda,Dar Es Salaam,39.337,-6.797,Tanzania,1,1057
Dar Es Salaam,39.337,-6.797,Tanzania,Entebbe,32.739,0.07,Uganda,1,1057
Milano,9.213,46.051,Italy,Marrakech,-7.394,32.011,Morocco,1,2111
Zurich,8.915,47.774,Switzerland,Tunis,10.378,37.418,Tunisia,1,1157
Zurich,8.915,47.774,Switzerland,Djerba,11.292,34.458,Tunisia,1,1493
Vienna,16.949,48.183,Austria,Tunis,10.378,37.418,Tunisia,1,1310
Venice,12.586,45.842,Italy,Tunis,10.378,37.418,Tunisia,1,954
Tunis,10.378,37.418,Tunisia,Oran,-0.369,36.039,Algeria,1,969
Tunis,10.378,37.418,Tunisia,Nouakschott,-15.914,18.163,Mauritania,1,3336
Tunis,10.378,37.418,Tunisia,Dakar,-17.151,15.232,Senegal,1,3663
Tunis,10.378,37.418,Tunisia,Bamako,-7.917,12.889,Mali,1,3276
Tunis,10.378,37.418,Tunisia,Algier,3.359,37.151,Algeria,1,621
Tunis,10.378,37.418,Tunisia,Abidjan,-3.878,5.435,Cote d'Ivoire,1,3839
Toulouse,1.606,44.048,France,Tunis,10.378,37.418,Tunisia,1,1042
Berlin,13.479,52.932,Germany,Enfidha,10.731,36.126,Tunisia,1,1881
Strasbourg,8.047,48.897,France,Tunis,10.378,37.418,Tunisia,1,1290
Strasbourg,8.047,48.897,France,Djerba,11.292,34.458,Tunisia,1,1627
Palermo,13.151,38.293,Italy,Tunis,10.378,37.418,Tunisia,1,262
Paris,2.916,49.021,France,Tozeur,8.184,34.566,Tunisia,1,1664
Oran,-0.369,36.039,Algeria,Tunis,10.378,37.418,Tunisia,1,969
Nantes,-1.352,47.255,France,Tunis,10.378,37.418,Tunisia,1,1454
Nantes,-1.352,47.255,France,Djerba,11.292,34.458,Tunisia,1,1771
Nouakschott,-15.914,18.163,Mauritania,Tunis,10.378,37.418,Tunisia,1,3336
Nice,7.359,44.097,France,Tozeur,8.184,34.566,Tunisia,1,1062
Nice,7.359,44.097,France,Monastir,11.257,36.263,Tunisia,1,931
Nice,7.359,44.097,France,Djerba,11.292,34.458,Tunisia,1,1123
Enfidha,10.731,36.126,Tunisia,Djerba,11.292,34.458,Tunisia,1,192
Munich,12.31,48.589,Germany,Tunis,10.378,37.418,Tunisia,1,1251
Munich,12.31,48.589,Germany,Enfidha,10.731,36.126,Tunisia,1,1391
Marseille,5.356,43.725,France,Monastir,11.257,36.263,Tunisia,1,969
Marseille,5.356,43.725,France,Djerba,11.292,34.458,Tunisia,1,1149
Monastir,11.257,36.263,Tunisia,Djerba,11.292,34.458,Tunisia,1,200
Manchester,-1.792,53.589,United Kingdom,Tunis,10.378,37.418,Tunisia,1,2026
Madrid,-3.278,40.822,Spain,Tunis,10.378,37.418,Tunisia,1,1235
Lyon,5.151,46.21,France,Tozeur,8.184,34.566,Tunisia,1,1319
Lyon,5.151,46.21,France,Djerba,11.292,34.458,Tunisia,1,1405
Lisbon,-8.56,39.302,Portugal,Tunis,10.378,37.418,Tunisia,1,1661
Kuwait,48.614,29.377,Kuwait,Tunis,10.378,37.418,Tunisia,1,3633
Hamburg,10.647,54.05,Germany,Enfidha,10.731,36.126,Tunisia,1,1993
Hamburg,10.647,54.05,Germany,Djerba,11.292,34.458,Tunisia,1,2179
Geneva,6.181,46.396,Switzerland,Tunis,10.378,37.418,Tunisia,1,1056
Geneva,6.181,46.396,Switzerland,Djerba,11.292,34.458,Tunisia,1,1395
Frankfurt,8.905,50.044,Germany,Enfidha,10.731,36.126,Tunisia,1,1554
Frankfurt,8.905,50.044,Germany,Djerba,11.292,34.458,Tunisia,1,1743
Duesseldorf,7.277,51.482,Germany,Tunis,10.378,37.418,Tunisia,1,1582
Duesseldorf,7.277,51.482,Germany,Enfidha,10.731,36.126,Tunisia,1,1729
Dakar,-17.151,15.232,Senegal,Tunis,10.378,37.418,Tunisia,1,3663
Djerba,11.292,34.458,Tunisia,Monastir,11.257,36.263,Tunisia,1,200
Paris,2.916,49.021,France,Sfax,11.151,35.196,Tunisia,1,1678
Brussels,4.807,51.502,Belgium,Tunis,10.378,37.418,Tunisia,1,1626
Brussels,4.807,51.502,Belgium,Monastir,11.257,36.263,Tunisia,1,1769
Bordeaux,-0.526,45.38,France,Tunis,10.378,37.418,Tunisia,1,1267
Bamako,-7.917,12.889,Mali,Tunis,10.378,37.418,Tunisia,1,3276
Beograd,20.515,45.364,Serbia,Tunis,10.378,37.418,Tunisia,1,1221
Barcelona,2.13,41.495,Spain,Tunis,10.378,37.418,Tunisia,1,840
Athens,24.574,38.56,Greece,Tunis,10.378,37.418,Tunisia,1,1249
Amsterdam,5.273,52.514,Netherlands,Tunis,10.378,37.418,Tunisia,1,1724
Algier,3.359,37.151,Algeria,Tunis,10.378,37.418,Tunisia,1,621
Abidjan,-3.878,5.435,Cote d'Ivoire,Tunis,10.378,37.418,Tunisia,1,3839
Lisbon,-8.56,39.302,Portugal,Marrakech,-7.394,32.011,Morocco,1,817
Lisbon,-8.56,39.302,Portugal,Bissau,-15.423,12.491,Guinea-Bissau,1,3056
Lisbon,-8.56,39.302,Portugal,Dakar,-17.151,15.232,Senegal,1,2804
Lisbon,-8.56,39.302,Portugal,Bamako,-7.917,12.889,Mali,1,2937
Lisbon,-8.56,39.302,Portugal,Algier,3.359,37.151,Algeria,1,1067
Lisbon,-8.56,39.302,Portugal,Accra,0.388,6.008,Ghana,1,3809
Manchester,-1.792,53.589,United Kingdom,Amilcar Cabral,-22.916,17.235,Cape Verde,1,4435
Manchester,-1.792,53.589,United Kingdom,Boa Vista,-22.815,16.227,Cape Verde,1,4537
Manchester,-1.792,53.589,United Kingdom,Agadir,-9.244,30.635,Morocco,1,2621
London,-0.103,51.795,United Kingdom,Taba,35.296,29.979,Egypt,1,3777
London,-0.103,51.795,United Kingdom,Amilcar Cabral,-22.916,17.235,Cape Verde,1,4334
London,-0.103,51.795,United Kingdom,Marsa Alam,34.972,25.928,Egypt,1,4112
London,-0.103,51.795,United Kingdom,Mombasa,39.99,-3.392,Kenya,1,7205
London,-0.103,51.795,United Kingdom,Boa Vista,-22.815,16.227,Cape Verde,1,4434
Glasgow,-4.056,56.453,United Kingdom,Boa Vista,-22.815,16.227,Cape Verde,1,4744
East Midlands,-0.881,53.385,United Kingdom,Boa Vista,-22.815,16.227,Cape Verde,1,4551
Bristol,-2.532,51.637,United Kingdom,Sharm El Sheikh,34.658,28.628,Egypt,1,3996
Birmingham,-1.581,52.756,United Kingdom,Amilcar Cabral,-22.916,17.235,Cape Verde,1,4365
Birmingham,-1.581,52.756,United Kingdom,Enfidha,10.731,36.126,Tunisia,1,2084
Birmingham,-1.581,52.756,United Kingdom,Boa Vista,-22.815,16.227,Cape Verde,1,4466
Paris,2.916,49.021,France,Luxor,33.177,26.118,Egypt,1,3642
Paris,2.916,49.021,France,Hurghada,34.332,27.297,Egypt,1,3611
Manchester,-1.792,53.589,United Kingdom,Taba,35.296,29.979,Egypt,1,3967
Exeter,-3.024,51.224,United Kingdom,Sharm El Sheikh,34.658,28.628,Egypt,1,4007
"Doncaster,Sheffield",-0.341,53.791,United Kingdom,Sharm El Sheikh,34.658,28.628,Egypt,1,3977
Djerba,11.292,34.458,Tunisia,Tozeur,8.184,34.566,Tunisia,1,285
Cardiff,-2.906,51.661,United Kingdom,Sharm El Sheikh,34.658,28.628,Egypt,1,4020
Bournemouth,-1.738,51.3,United Kingdom,Sharm El Sheikh,34.658,28.628,Egypt,1,3930
Lichinga,35.443,-12.79,Mozambique,Nampula,39.469,-14.51,Mozambique,1,475
Chimoio,33.714,-18.586,Mozambique,Maputo,32.954,-25.869,Mozambique,1,813
Chimoio,33.714,-18.586,Mozambique,Beira,35.512,-19.661,Mozambique,1,223
Vilankulu,35.522,-21.365,Mozambique,Maputo,32.954,-25.869,Mozambique,1,564
Vilankulu,35.522,-21.365,Mozambique,Inhambane,35.68,-23.795,Mozambique,1,270
Quelimane,37.448,-17.76,Mozambique,Tete,34.066,-15.509,Mozambique,1,438
Quelimane,37.448,-17.76,Mozambique,Maputo,32.954,-25.869,Mozambique,1,1013
Tete,34.066,-15.509,Mozambique,Quelimane,37.448,-17.76,Mozambique,1,438
Tete,34.066,-15.509,Mozambique,Maputo,32.954,-25.869,Mozambique,1,1157
Tete,34.066,-15.509,Mozambique,Beira,35.512,-19.661,Mozambique,1,486
Tete,34.066,-15.509,Mozambique,Nampula,39.469,-14.51,Mozambique,1,590
Pemba,40.87,-12.978,Mozambique,Dar Es Salaam,39.337,-6.797,Tanzania,1,707
Pemba,40.87,-12.978,Mozambique,Nampula,39.469,-14.51,Mozambique,1,227
Maputo,32.954,-25.869,Mozambique,Chimoio,33.714,-18.586,Mozambique,1,813
Maputo,32.954,-25.869,Mozambique,Vilankulu,35.522,-21.365,Mozambique,1,564
Maputo,32.954,-25.869,Mozambique,Quelimane,37.448,-17.76,Mozambique,1,1013
Maputo,32.954,-25.869,Mozambique,Tete,34.066,-15.509,Mozambique,1,1157
Maputo,32.954,-25.869,Mozambique,Inhambane,35.68,-23.795,Mozambique,1,358
Maputo,32.954,-25.869,Mozambique,Beira,35.512,-19.661,Mozambique,1,738
Maputo,32.954,-25.869,Mozambique,Nampula,39.469,-14.51,Mozambique,1,1433
Johannesburg,28.41,-25.566,South Africa,Inhambane,35.68,-23.795,Mozambique,1,760
Inhambane,35.68,-23.795,Mozambique,Vilankulu,35.522,-21.365,Mozambique,1,270
Inhambane,35.68,-23.795,Mozambique,Maputo,32.954,-25.869,Mozambique,1,358
Inhambane,35.68,-23.795,Mozambique,Johannesburg,28.41,-25.566,South Africa,1,760
Dar Es Salaam,39.337,-6.797,Tanzania,Pemba,40.87,-12.978,Mozambique,1,707
Beira,35.512,-19.661,Mozambique,Chimoio,33.714,-18.586,Mozambique,1,223
Beira,35.512,-19.661,Mozambique,Tete,34.066,-15.509,Mozambique,1,486
Beira,35.512,-19.661,Mozambique,Maputo,32.954,-25.869,Mozambique,1,738
Beira,35.512,-19.661,Mozambique,Nampula,39.469,-14.51,Mozambique,1,710
Nampula,39.469,-14.51,Mozambique,Lichinga,35.443,-12.79,Mozambique,1,475
Nampula,39.469,-14.51,Mozambique,Tete,34.066,-15.509,Mozambique,1,590
Nampula,39.469,-14.51,Mozambique,Pemba,40.87,-12.978,Mozambique,1,227
Nampula,39.469,-14.51,Mozambique,Maputo,32.954,-25.869,Mozambique,1,1433
Nampula,39.469,-14.51,Mozambique,Beira,35.512,-19.661,Mozambique,1,710
Istanbul,29.357,41.628,Turkey,Tripoli,13.265,33.105,Libya,1,1704
Istanbul,29.357,41.628,Turkey,Misratah,15.101,32.541,Libya,1,1614
Istanbul,29.357,41.628,Turkey,Lagos,3.535,6.962,Nigeria,1,4619
Istanbul,29.357,41.628,Turkey,Khartoum,32.921,15.982,Sudan,1,2872
Istanbul,29.357,41.628,Turkey,Johannesburg,28.41,-25.566,South Africa,1,7472
Istanbul,29.357,41.628,Turkey,Entebbe,32.739,0.07,Uganda,1,4633
Istanbul,29.357,41.628,Turkey,Dar Es Salaam,39.337,-6.797,Tanzania,1,5479
Istanbul,29.357,41.628,Turkey,Benghazi,20.449,32.161,Libya,1,1315
Istanbul,29.357,41.628,Turkey,Accra,0.388,6.008,Ghana,1,4887
Manchester,-1.792,53.589,United Kingdom,Banjul,-16.421,13.563,Gambia,1,4632
London,-0.103,51.795,United Kingdom,Banjul,-16.421,13.563,Gambia,1,4494
Birmingham,-1.581,52.756,United Kingdom,Hurghada,34.332,27.297,Egypt,1,4092
Birmingham,-1.581,52.756,United Kingdom,Banjul,-16.421,13.563,Gambia,1,4552
Zanzibar,39.374,-5.704,Tanzania,Johannesburg,28.41,-25.566,South Africa,1,2497
Johannesburg,28.41,-25.566,South Africa,Zanzibar,39.374,-5.704,Tanzania,1,2497
Walvis Bay,15.075,-22.967,Namibia,Windhoek,17.77,-22.145,Namibia,1,291
Windhoek,17.77,-22.145,Namibia,Walvis Bay,15.075,-22.967,Namibia,1,291
Windhoek,17.77,-22.145,Namibia,Maun,23.718,-19.955,Botswana,1,663
Windhoek,17.77,-22.145,Namibia,Lusaka,28.754,-14.885,Zambia,1,1410
Windhoek,17.77,-22.145,Namibia,Luderitz,15.404,-26.479,Namibia,1,538
Windhoek,17.77,-22.145,Namibia,Accra,0.388,6.008,Ghana,1,3658
Victoria Falls,26.398,-17.494,Zimbabwe,Windhoek,17.77,-22.145,Namibia,1,1039
Ondangwa,16.587,-17.797,Namibia,Windhoek,17.77,-22.145,Namibia,1,499
Oranjemund,16.744,-28.308,Namibia,Windhoek,17.77,-22.145,Namibia,1,693
Rundu,20.199,-17.928,Namibia,Mpacha,24.294,-17.391,Namibia,1,437
Maun,23.718,-19.955,Botswana,Victoria Falls,26.398,-17.494,Zimbabwe,1,393
